Understanding Gender Terms,0
"A person's gender is one of the most basic parts of their identity. It is more than the sex assigned to them at birth. Gender is how a person feels and expresses themselves. It can influence, and be influenced, by many things. It can change over time.",0
Defining Basic Gender Terms,0
The following terms and definitions are commonly used to differentiate between various aspects of gender identity:,0
"Sex - The classification of people as male or female, typically assigned at birth based on the appearance of external anatomy.",0
Gender - The socially constructed roles and behaviors that a society typically associates with males and females.,0
"Gender identity - A person's internal sense of self, which can be male, female, both, neither or something else.",0
"Gender expression - How a person presents their gender to others through clothing, hairstyle, voice and mannerisms.",0
Cisgender - When a person's assigned sex at birth corresponds with their gender identity and expression.,0
"Gender nonconforming - When a person's gender expression does not correspond with the appearance or behaviors of a stereotypical male or female. Not all gender non-conforming people identity as transgender, and not all transgender people are gender non-conforming.",0
Agender - When a person doesn't have a specific gender identity.,0
Bigender - When a person has two gender identities.,0
"Genderqueer - When a person identifies with both genders, no gender or a combination of the stereotypical male and female characteristics.",0
Transgender - An umbrella term describing when a person's gender identity is different than what society expects based on the person's sex assigned at birth.,0
"Transgender woman - A person who was assigned male at birth, but identifies and expresses their gender as female. Sometimes shortened to trans woman.",0
"Transgender man - A person who was assigned female at birth, but identifies and expresses their gender as male. Sometimes shortened to trans man.",0
"Gender-expansive - When a person's identity or behavior is broader than the commonly held definitions of gender and gender expression in one or more aspects of their life. They may not identify with being either male or female, or may identify as a combination of both or they might express their gender in a different way.",0
"Gender-fluid - When a person has a flexible gender identity and expression that can fluctuate by the hour, day, or longer interval of time.",0
Gender dysphoria - An emotional and psychological condition experienced when a person's gender identity differs from the sex they were assigned at birth.,0
Gender confirmation surgery or sex reassignment surgery - A treatment for gender dysphoria which changes the physical appearance and function of a person's genitals to bring them into alignment with their gender identity.,0
"Intersex - A general term covering a variety of conditions in which a person's sex characteristics - including chromosomes, gonads or genitals - are not distinct to either a male or female.",0
Communication about gender can be clearer if the various terms are understood and correctly used.,0
"Writers who use unbiased language write in ways that are free from gender and group stereotypes including race, age, ethnicity, disability or sexual orientation. By using unbiased language, writers can avoid using offensive language. This type of writing is appropriate for many different writing situations, especially in formal writing such as academic and journalistic. Writers must recognize where they are most likely to encounter problems of biased language in their writing.",0
Creating Unbiased Language,0
Gender Specific Pronouns and Sexist Terminology,0
"English speakers use gender specific pronouns to explain the gender of the person in question, as compared to other languages that use suffixes. The singular gender pronouns, he, she, him or her, are used in speaking and writing. In the past, the male pronouns were used to denote both male and female if the sentence used a singular construction.",0
Everyone must do his part.,1
"everyone. This means that any accompanying pronouns that refer back to everyone must be singular as well. In the past, the singular pronoun his",1
This type of singular gendered construction is no longer acceptable because it infringes on another issue of biased language called sexist terminology. Writers hesitate to use the masculine or the feminine versions of the pronoun.,0
"Instead, many writers will use the gender neutral pronouns such as they or their. This presents a grammar problem because the singular noun """" paired with a plural pronoun is grammatically incorrect. Sadly, this construction of the singular noun with a plural gender neutral pronoun is widely used in speech and has filtered into writing as well.
",0
Writers have two alternatives to fixing this problem.,0
"he or she or him or her construction. However, this could become very unwieldy very quickly. The constant use of he or she or him or her throughout a paragraph will get confusing to read, write or speak. Some writers like to use the term s/he. Again though, writers must consider how this construction sounds. How does someone pronounce s/he",1
